Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um/sr,,,,
 58, 452,     452.280,       5.036,    2057.076,   2.162E-01,   2.902E-02,   5.368E-03,   4.441E-19
 59, 455,     454.769,       5.060,    2044.504,   2.114E-01,   2.900E-02,   5.945E-03,   4.252E-19
 60, 457,     457.262,       5.051,    2059.530,   2.067E-01,   2.897E-02,   7.420E-03,   4.263E-19
 61, 460,     459.757,       5.061,    2079.882,   2.022E-01,   2.895E-02,   9.301E-03,   4.351E-19
 62, 462,     462.252,       5.028,    2080.375,   1.977E-01,   2.892E-02,   1.011E-02,   4.326E-19
 63, 465,     464.737,       5.064,    2058.182,   1.935E-01,   2.890E-02,   9.683E-03,   4.061E-19
 64, 467,     467.244,       5.068,    2036.931,   1.893E-01,   2.888E-02,   9.648E-03,   3.691E-19
 65, 470,     469.729,       5.041,    2034.870,   1.852E-01,   2.886E-02,   1.043E-02,   3.442E-19
 66, 472,     472.202,       5.027,    2053.794,   1.812E-01,   2.884E-02,   1.115E-02,   3.581E-19
 67, 475,     474.700,       5.073,    2072.177,   1.774E-01,   2.881E-02,   1.242E-02,   3.800E-19
 68, 477,     477.189,       5.079,    2081.664,   1.736E-01,   2.879E-02,   1.528E-02,   3.580E-19
 69, 480,     479.689,       5.044,    2090.704,   1.700E-01,   2.877E-02,   1.895E-02,   3.338E-19
 70, 482,     482.183,       5.078,    2069.316,   1.665E-01,   2.875E-02,   2.123E-02,   3.022E-19
 71, 485,     484.689,       5.072,    1962.038,   1.631E-01,   2.873E-02,   2.113E-02,   2.724E-19
 72, 487,     487.182,       5.059,    1902.114,   1.595E-01,   2.871E-02,   2.039E-02,   2.939E-19
 73, 490,     489.674,       5.068,    1956.062,   1.562E-01,   2.870E-02,   2.100E-02,   3.042E-19
 74, 492,     492.176,       5.067,    1994.320,   1.530E-01,   2.868E-02,   2.224E-02,   2.852E-19
 75, 495,     494.686,       5.093,    2006.920,   1.499E-01,   2.866E-02,   2.354E-02,   2.823E-19
 76, 497,     497.182,       5.064,    1993.768,   1.469E-01,   2.864E-02,   2.613E-02,   2.498E-19
 77, 500,     499.688,       5.067,    1951.034,   1.440E-01,   2.862E-02,   3.087E-02,   2.021E-19
 78, 502,     502.190,       5.086,    1931.631,   1.410E-01,   2.861E-02,   3.666E-02,   2.151E-19
 79, 505,     504.695,       5.069,    1950.155,   1.382E-01,   2.859E-02,   4.082E-02,   2.384E-19
 80, 507,     507.198,       5.089,    1975.802,   1.355E-01,   2.857E-02,   4.179E-02,   2.316E-19
 81, 510,     509.720,       5.073,    1970.583,   1.328E-01,   2.856E-02,   4.101E-02,   2.296E-19
 82, 512,     512.213,       5.068,    1928.619,   1.302E-01,   2.854E-02,   4.110E-02,   2.156E-19
 83, 515,     514.729,       5.065,    1853.471,   1.277E-01,   2.852E-02,   4.274E-02,   1.773E-19
 84, 517,     517.219,       5.091,    1796.314,   1.252E-01,   2.851E-02,   4.504E-02,   1.597E-19
 85, 520,     519.747,       5.076,    1825.206,   1.227E-01,   2.849E-02,   4.767E-02,   1.620E-19
 86, 522,     522.249,       5.102,    1890.892,   1.203E-01,   2.848E-02,   5.134E-02,   1.624E-19
 87, 525,     524.771,       5.080,    1888.232,   1.180E-01,   2.846E-02,   5.654E-02,   1.755E-19
 88, 527,     527.276,       5.065,    1878.702,   1.158E-01,   2.845E-02,   6.292E-02,   1.771E-19
 89, 530,     529.798,       5.151,    1919.095,   1.137E-01,   2.843E-02,   6.885E-02,   1.592E-19
 90, 532,     532.314,       5.059,    1926.304,   1.114E-01,   2.842E-02,   7.264E-02,   1.422E-19
 91, 535,     534.859,       5.119,    1925.215,   1.092E-01,   2.841E-02,   7.422E-02,   1.165E-19
 92, 537,     537.346,       5.056,    1912.153,   1.072E-01,   2.839E-02,   7.488E-02,   1.023E-19
 93, 540,     539.878,       5.149,    1892.816,   1.052E-01,   2.838E-02,   7.665E-02,   1.097E-19
 94, 542,     542.395,       5.064,    1885.918,   1.032E-01,   2.837E-02,   7.989E-02,   1.239E-19
