Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um/sr,,,,
248, 817,     816.943,       5.035,    1084.790,   1.955E-02,   2.763E-02,   6.024E-03,   1.070E-22
249, 819,     819.456,       5.019,    1068.382,   1.932E-02,   2.763E-02,   5.699E-03,   6.926E-23
250, 822,     821.961,       5.043,    1061.945,   1.908E-02,   2.762E-02,   4.915E-03,   6.595E-23
251, 824,     824.462,       4.994,    1065.430,   1.885E-02,   2.762E-02,   3.982E-03,   8.304E-23
252, 827,     826.984,       5.059,    1065.248,   1.862E-02,   2.762E-02,   3.186E-03,   1.016E-22
253, 829,     829.489,       5.043,    1057.559,   1.840E-02,   2.762E-02,   2.619E-03,   1.144E-22
254, 832,     832.005,       5.025,    1043.880,   1.817E-02,   2.761E-02,   2.259E-03,   1.472E-22
255, 835,     834.507,       5.018,    1034.947,   1.795E-02,   2.761E-02,   2.052E-03,   1.970E-22
256, 837,     837.018,       5.033,    1034.164,   1.774E-02,   2.761E-02,   1.974E-03,   1.945E-22
257, 840,     839.516,       5.017,    1031.461,   1.754E-02,   2.760E-02,   1.989E-03,   1.759E-22
258, 842,     842.031,       5.050,    1025.620,   1.733E-02,   2.760E-02,   2.080E-03,   1.911E-22
259, 845,     844.538,       4.994,    1018.828,   1.713E-02,   2.760E-02,   2.267E-03,   1.737E-22
260, 847,     847.062,       5.111,    1007.310,   1.693E-02,   2.759E-02,   2.602E-03,   1.149E-22
261, 850,     849.572,       4.991,     986.598,   1.673E-02,   2.759E-02,   3.174E-03,   7.468E-23
262, 852,     852.086,       5.049,     946.293,   1.654E-02,   2.759E-02,   3.781E-03,   8.112E-23
263, 855,     854.586,       4.993,     923.347,   1.634E-02,   2.759E-02,   3.974E-03,   1.024E-22
264, 857,     857.103,       5.049,     958.003,   1.614E-02,   2.758E-02,   3.670E-03,   8.654E-23
265, 860,     859.594,       5.004,     985.817,   1.595E-02,   2.758E-02,   3.167E-03,   6.545E-23
266, 862,     862.112,       5.042,     979.975,   1.577E-02,   2.758E-02,   2.571E-03,   6.251E-23
267, 865,     864.610,       5.017,     942.618,   1.560E-02,   2.758E-02,   2.049E-03,   5.887E-23
268, 867,     867.113,       5.016,     917.799,   1.542E-02,   2.757E-02,   1.649E-03,   6.112E-23
269, 870,     869.613,       5.016,     942.153,   1.524E-02,   2.757E-02,   1.362E-03,   6.069E-23
270, 872,     872.129,       5.033,     950.184,   1.507E-02,   2.757E-02,   1.178E-03,   5.787E-23
271, 875,     874.636,       5.036,     943.803,   1.490E-02,   2.756E-02,   1.080E-03,   6.086E-23
272, 877,     877.145,       5.012,     939.575,   1.472E-02,   2.756E-02,   1.057E-03,   6.706E-23
273, 880,     879.637,       4.978,     934.417,   1.456E-02,   2.756E-02,   1.098E-03,   7.322E-23
274, 882,     882.136,       5.046,     929.351,   1.440E-02,   2.756E-02,   1.184E-03,   7.435E-23
275, 885,     884.639,       4.978,     929.421,   1.424E-02,   2.755E-02,   1.303E-03,   7.057E-23
276, 887,     887.130,       5.020,     924.047,   1.408E-02,   2.755E-02,   1.422E-03,   7.866E-23
277, 890,     889.598,       4.916,     922.939,   1.393E-02,   2.755E-02,   1.469E-03,   1.132E-22
278, 892,     892.093,       5.049,     919.698,   1.378E-02,   2.755E-02,   1.484E-03,   1.219E-22
279, 895,     894.601,       4.974,     914.283,   1.364E-02,   2.755E-02,   1.610E-03,   9.443E-23
280, 940,     939.713,      44.285,     819.699,   1.109E-02,   2.750E-02,   5.011E-04,   7.247E-24
281,1038,    1038.317,      74.398,     670.309,   7.464E-03,   2.744E-02,   3.473E-05,   3.122E-27
282,1249,    1248.550,      28.641,     444.994,   3.536E-03,   2.734E-02,   8.550E-09,   1.215E-26
283,1378,    1378.169,      14.420,     355.744,   2.376E-03,   2.730E-02,   1.123E-08,   3.018E-26
284,1618,    1618.034,      73.644,     234.977,   1.252E-03,   2.726E-02,   3.028E-09,   8.985E-27
285,2131,    2130.593,      49.294,      91.108,   4.152E-04,   2.721E-02,   1.151E-08,   3.421E-26
286,2258,    2258.429,      72.833,      73.956,   3.292E-04,   2.720E-02,   9.451E-09,   2.823E-26
